Day,Date,Close,Open,High,Low
Monday,2020-12-07,30290.55,30165.2,30443.95,30021.0
Tuesday,2020-12-08,30314.0,30339.95,30449.9,30104.25
Wednesday,2020-12-09,30763.65,30400.0,30877.0,30355.0
Thursday,2020-12-10,30621.75,30580.0,30690.0,30255.0
Friday,2020-12-11,30609.25,30674.95,30865.0,30337.0
Monday,2020-12-14,30788.4,30702.35,30890.0,30656.1
Tuesday,2020-12-15,30706.6,30700.0,30780.6,30343.95
Wednesday,2020-12-16,30770.5,30823.6,30925.0,30526.6
Thursday,2020-12-17,30844.4,30841.85,30998.0,30652.25
Friday,2020-12-18,30735.75,30797.95,30865.45,30380.1
Monday,2020-12-21,29417.95,30375.0,30597.75,29222.0
Tuesday,2020-12-22,29646.6,29515.0,29760.0,29000.1
Wednesday,2020-12-23,29908.5,29580.25,29950.0,29472.3
Thursday,2020-12-24,30437.2,30041.05,30576.9,30021.6
Friday,2020-12-25,30437.2,30041.05,30576.9,30021.6
Monday,2020-12-28,30928.3,30552.05,30975.4,30552.05
Tuesday,2020-12-29,31360.1,31060.05,31417.0,31022.0
Wednesday,2020-12-30,31338.25,31489.0,31549.45,31030.0
Thursday,2020-12-31,31264.05,31283.95,31427.9,31079.05
Friday,2021-01-01,31309.35,31250.0,31425.0,31250.0
Monday,2021-01-04,31326.55,31450.25,31599.0,30930.8
Tuesday,2021-01-05,31798.75,31130.0,31844.0,31011.1
Wednesday,2021-01-06,31903.1,31875.0,32089.7,31662.5
Thursday,2021-01-07,32078.75,32106.05,32294.95,32034.05
Friday,2021-01-08,32172.7,32305.1,32337.95,32080.2
Monday,2021-01-11,32096.25,32480.0,32480.0,31888.0
Tuesday,2021-01-12,32455.05,31849.95,32508.9,31810.0
Wednesday,2021-01-13,32685.15,32603.0,32758.15,32251.85
Thursday,2021-01-14,32647.8,32600.0,32861.4,32562.1
Friday,2021-01-15,32314.05,32600.0,32610.0,32105.0
Monday,2021-01-18,31815.7,32315.65,32467.85,31691.7
Tuesday,2021-01-19,32520.9,32085.5,32569.75,31919.0
Wednesday,2021-01-20,32584.7,32426.25,32664.85,32354.3
Thursday,2021-01-21,32228.8,32749.0,32899.0,32001.5
Friday,2021-01-22,31197.75,32200.2,32226.95,31123.05
Monday,2021-01-25,31181.15,31469.95,31700.0,30989.9
Tuesday,2021-01-26,31181.15,31469.95,31700.0,30989.9
Wednesday,2021-01-27,30328.35,31165.35,31249.9,30177.1
Thursday,2021-01-28,30358.3,29886.1,30410.75,29661.0
Friday,2021-01-29,30679.15,30639.5,31238.0,30291.2
Monday,2021-02-01,33276.3,30994.85,33484.95,30942.5
Tuesday,2021-02-02,34392.7,33610.0,34740.5,33601.0
Wednesday,2021-02-03,34841.75,34675.0,34998.9,34097.5
Thursday,2021-02-04,35352.05,34551.05,35488.0,34343.55
Friday,2021-02-05,35665.95,35575.9,36640.0,35527.0
Monday,2021-02-08,36013.8,36140.0,36503.5,35860.0
Tuesday,2021-02-09,36045.95,36580.0,36580.0,35639.0
Wednesday,2021-02-10,35875.4,35960.0,36253.0,35462.75
Thursday,2021-02-11,35808.75,35750.0,36067.0,35630.0
Friday,2021-02-12,36133.8,35770.0,36347.75,35720.15
Monday,2021-02-15,37402.65,36455.0,37543.95,36423.45
Tuesday,2021-02-16,37218.15,37550.0,37770.0,36832.6
Wednesday,2021-02-17,36976.0,37050.05,37400.55,36820.0
Thursday,2021-02-18,36603.3,37075.0,37125.15,36352.0
Friday,2021-02-19,35849.8,36402.0,36680.0,35570.25
Monday,2021-02-22,35254.55,35622.35,36116.0,35075.0
Tuesday,2021-02-23,35119.85,35580.0,35714.95,34988.75
Wednesday,2021-02-24,36468.7,35090.0,35821.4,35035.0
Thursday,2021-02-25,36549.0,36502.0,37243.4,36482.35
Friday,2021-02-26,34870.35,36000.0,36080.0,34660.0
Monday,2021-03-01,35324.55,35350.0,35615.0,34983.05
Tuesday,2021-03-02,35454.85,35460.05,35754.8,34983.05
Wednesday,2021-03-03,36491.75,35750.0,36580.95,35666.8
Thursday,2021-03-04,35879.75,35726.25,36421.25,35530.0
Friday,2021-03-05,35287.95,35500.0,35660.0,34887.9
Monday,2021-03-08,35316.05,35501.05,35888.5,35100.0
Tuesday,2021-03-09,35932.95,35668.0,36154.0,35604.0
Wednesday,2021-03-10,36007.75,36244.0,36244.0,35816.0
Thursday,2021-03-11,36007.75,36244.0,36244.0,35816.0
Friday,2021-03-12,35522.1,36505.25,36554.0,35206.55
Monday,2021-03-15,35304.7,35485.5,35544.0,34455.0
Tuesday,2021-03-16,34923.4,35425.0,35494.0,34790.0
Wednesday,2021-03-17,34360.65,34900.0,35184.15,34230.25
Thursday,2021-03-18,33888.25,34579.8,34820.0,33668.55
Friday,2021-03-19,34205.6,33600.3,34450.0,33380.05
Monday,2021-03-22,33685.2,34035.3,34189.9,33413.0
Tuesday,2021-03-23,34244.05,33760.0,34424.9,33635.0
Wednesday,2021-03-24,33358.3,33888.85,34016.7,33254.9
Thursday,2021-03-25,33006.45,33408.45,33590.0,32391.65
Friday,2021-03-26,33584.7,33750.0,33834.4,33336.75
Monday,2021-03-29,33584.7,33750.0,33834.4,33336.75
Tuesday,2021-03-30,34046.8,33915.2,34180.0,33693.6
Wednesday,2021-03-31,33478.45,33939.65,33945.85,33266.3
Thursday,2021-04-01,34155.2,33693.0,34250.0,33390.05
Friday,2021-04-02,34155.2,33693.0,34250.0,33390.05
Monday,2021-04-05,32817.15,33925.0,33999.0,32412.0
Tuesday,2021-04-06,32691.55,33021.0,33175.0,32461.65
Wednesday,2021-04-07,33151.4,32560.35,33370.0,32298.3
Thursday,2021-04-08,32945.7,33331.0,33489.95,32851.5
Friday,2021-04-09,32617.55,32312.0,33174.0,32251.25
Monday,2021-04-12,30869.25,31821.0,31900.0,30610.0
Tuesday,2021-04-13,31865.6,31002.05,32019.9,30779.15
Wednesday,2021-04-14,31865.6,31002.05,32019.9,30779.15
Thursday,2021-04-15,32206.95,31950.2,32294.6,31450.0
Friday,2021-04-16,32075.65,32260.0,32439.2,31986.45
Monday,2021-04-19,31239.7,31105.25,31337.5,30451.6
Tuesday,2021-04-20,31120.55,31589.0,31784.3,30917.0
Wednesday,2021-04-21,31120.55,31589.0,31784.3,30917.0
Thursday,2021-04-22,31762.85,30798.55,31823.75,30588.95
Friday,2021-04-23,31709.6,31505.0,32169.9,31376.4
Monday,2021-04-26,32302.55,32221.2,32624.95,32150.55
Tuesday,2021-04-27,32741.95,32238.0,32784.7,32150.05
Wednesday,2021-04-28,33696.2,32874.0,33764.9,32833.9
Thursday,2021-04-29,33714.5,33902.25,34298.85,33271.8
Friday,2021-04-30,32893.55,33197.65,33599.65,32812.1
Monday,2021-05-03,32655.85,32350.0,32757.65,31625.0
Tuesday,2021-05-04,32422.55,32755.05,33206.0,32316.5
Wednesday,2021-05-05,32973.65,32730.0,33060.7,32134.7
Thursday,2021-05-06,32953.75,33107.85,33144.4,32655.0
Friday,2021-05-07,33038.4,33203.35,33367.65,32861.7
Monday,2021-05-10,33302.65,33250.0,33500.0,33165.0
Tuesday,2021-05-11,32952.5,32755.0,33288.95,32700.0
Wednesday,2021-05-12,32520.3,32775.0,32817.0,32423.05
Thursday,2021-05-13,32520.3,32775.0,32817.0,32423.05
Friday,2021-05-14,32265.2,32500.05,32698.65,32184.0
Monday,2021-05-17,33548.85,32452.0,33605.15,32366.05
Tuesday,2021-05-18,34045.2,33944.75,34244.0,33801.05
Wednesday,2021-05-19,33800.75,33810.0,34030.0,33655.0
Thursday,2021-05-20,33445.7,33779.0,33913.75,33387.0
Friday,2021-05-21,34763.15,33600.15,34855.0,33589.9
Monday,2021-05-24,34998.1,34900.0,35348.0,34556.0
Tuesday,2021-05-25,34758.05,35149.0,35193.95,34434.0
Wednesday,2021-05-26,34723.95,34810.0,34989.9,34502.15
Thursday,2021-05-27,35095.05,34605.6,35110.3,34522.05
Friday,2021-05-28,35321.8,35499.0,35670.0,35150.0
Monday,2021-05-31,35602.9,35280.0,35650.0,35063.15
Tuesday,2021-06-01,35454.1,35677.95,35797.45,35313.95
Wednesday,2021-06-02,35524.25,35380.0,35560.0,35180.0
Thursday,2021-06-03,35781.95,35662.2,35890.0,35553.0
Friday,2021-06-04,35508.5,35770.0,35960.8,35350.0
Monday,2021-06-07,35622.2,35540.05,35740.0,35494.0
Tuesday,2021-06-08,35265.3,35536.8,35569.8,35123.0
Wednesday,2021-06-09,34929.35,35281.0,35547.6,34757.65
Thursday,2021-06-10,35266.35,34980.0,35320.0,34830.0
Friday,2021-06-11,35169.35,35420.0,35474.95,34977.7
Monday,2021-06-14,35065.1,35024.0,35130.0,34455.0
Tuesday,2021-06-15,35330.4,35035.0,35425.95,34960.6
Wednesday,2021-06-16,35101.35,35233.0,35463.9,35005.0
Thursday,2021-06-17,34682.2,34699.95,34970.05,34486.4
Friday,2021-06-18,34596.75,34800.0,34837.85,33937.0
Monday,2021-06-21,34911.1,34388.0,34949.0,33955.1
Tuesday,2021-06-22,34775.8,35110.0,35286.75,34719.1
Wednesday,2021-06-23,34611.9,34949.7,34972.0,34555.1
Thursday,2021-06-24,34827.0,34699.25,34970.0,34579.3
Friday,2021-06-25,35488.65,35050.15,35665.5,35001.1
Monday,2021-06-28,35516.15,35698.95,35990.0,35350.0
Tuesday,2021-06-29,35186.1,35250.5,35467.1,35090.05
Wednesday,2021-06-30,34937.55,35227.85,35392.3,34892.5
